art;variant;sort;replacement;note;priority
Picea omorika;NA;NA;Omorika-gran;change danish name based on latin name;NA
Picea orientalis;NA;NA;Orientalsk gran;change danish name based on latin name;NA
Picea pungens;NA;NA;Blågran;change danish name based on latin name;NA
Picea pungens;NA;Argenta;Blågran;change danish name based on latin name;NA
Picea sp.;NA;NA;Gran;change danish name based on latin name;NA
Pinus bungeana;NA;NA;Bungefyr;change danish name based on latin name;NA
Pinus cembra;NA;NA;Cembra-fyr;change danish name based on latin name;NA
Pinus mugo;NA;NA;Bjergfyr;change danish name based on latin name;NA
Pinus mugo;NA;Pumillo;Dværgfyr;change danish name based on latin name;NA
Pinus nigra;var. corsicana;NA;Korsikansk fyr;change danish name based on latin name;NA
Pinus nigra;NA;NA;Sortfyr;change danish name based on latin name;NA
Pinus parviflora;NA;NA;Penselfyr;change danish name based on latin name;NA
Pinus peuce;NA;NA;Silkefyr;change danish name based on latin name;NA
Pinus ponderosa;NA;NA;Gul fyr;change danish name based on latin name;NA
Pinus sp.;NA;NA;Fyr;change danish name based on latin name;NA
Pinus strobus;NA;NA;Weymouthsfyr;change danish name based on latin name;NA
Pinus sylvestris;NA;NA;Skovfyr;change danish name based on latin name;NA
Pinus sylvestris;NA;Typ Norwegen;Norsk skovfyr;change danish name based on latin name;NA
Pinus sylvestris;NA;Fastigiata;Søjle-skovfyr;change danish name based on latin name;NA
Pinus tabuliformis;NA;NA;Måttefyr;change danish name based on latin name;NA
Pinus wallichiana;NA;NA;Tårefyr;change danish name based on latin name;NA
Pistacie chinensis;NA;NA;Kinesisk pistacie;change danish name based on latin name;NA
Platanus hybr. acerifolia;NA;NA;Platan;change danish name based on latin name;NA
Platanus orientalis;NA;NA;Orientalsk platan;change danish name based on latin name;NA
Platanus sp.;NA;NA;Platan;change danish name based on latin name;NA
Poncirus trifoliatus;NA;NA;Dværgcitron;change danish name based on latin name;NA
Populus acuminata;NA;NA;Lancetbladet poppel;change danish name based on latin name;NA
Populus alba;NA;Nivea;Sølvpoppel;change danish name based on latin name;NA
Populus balsamifera;NA;NA;Balsampoppel;change danish name based on latin name;NA
Populus hybr. canadensis;NA;NA;Landevejspoppel;change danish name based on latin name;NA
Populus hybr. canadensis;NA;Bachalierii;Landevejspoppel 'Bachalierii';change danish name based on latin name;NA
Populus hybr. canadensis;NA;De Moffat;Landevejspoppel;change danish name based on latin name;NA
Populus hybr. canescens;NA;NA;Gråpoppel;change danish name based on latin name;NA
Populus hybr. gileadensis;NA;NA;Ontarisk poppel;change danish name based on latin name;NA
Populus koreana;NA;NA;Vårpoppel;change danish name based on latin name;NA
Populus lasiocarpa;NA;NA;Rabarberpoppel;change danish name based on latin name;NA
Populus nigra;NA;Vereecken;Sortpoppel;change danish name based on latin name;NA
Populus nigra;NA;Italica;Søjleformet sortpoppel;change danish name based on latin name;NA
Populus simonii;NA;Fastgiata;Simon-poppel;change danish name based on latin name;NA
Populus sp.;NA;NA;Poppel;change danish name based on latin name;NA
Populus tremula;NA;NA;Bævreasp;change danish name based on latin name;NA
Populus tremula;NA;Erecta;Søjleformet bævreasp;change danish name based on latin name;NA
Populus trichocarpa;NA;NA;Vestamerikansk balsampoppel;change danish name based on latin name;NA
Prunus;NA;Italiensk sveske;Blomme 'Italiensk sveske';change danish name based on latin name;NA
Prunus americana;NA;NA;Amerikansk blomme;change danish name based on latin name;NA
Prunus avium;NA;NA;Fuglekirsebær;change danish name based on latin name;NA
Prunus avium;NA;Plena;Fyldtblomstret fuglekirsebær;change danish name based on latin name;NA
Prunus avium;NA;Kordia;Kirsebær 'Kordia';change danish name based on latin name;NA
Prunus avium;NA;Lapins;Kirsebær 'Lapins';change danish name based on latin name;NA
Prunus avium;NA;Sam;Kirsebær 'Sam';change danish name based on latin name;NA
Prunus avium;NA;Van;Kirsebær 'Van';change danish name based on latin name;NA
Prunus avium;NA;Dönnissens gule;Sødkirsebær 'Dönnisens gule';change danish name based on latin name;NA
Prunus avium;NA;Hedelfinger;Sødkirsebær 'Hedelfinger';change danish name based on latin name;NA
Prunus avium;NA;Merton Glory;Sødkirsebær 'Merton Glory';change danish name based on latin name;NA
Prunus avium;NA;Sunburst;Sødkirsebær 'Sunburst';change danish name based on latin name;NA
Prunus cerasifera;NA;Nigra;Blodblomme;change danish name based on latin name;NA
Prunus cerasifera;NA;Atropupurea;Blodblomme;change danish name based on latin name;NA
Prunus cerasifera;NA;NA;Kirsebærblomme/mirabel;change danish name based on latin name;NA
Prunus cerasus;NA;NA;Surkirsebær;change danish name based on latin name;NA
Prunus domestica;NA;Toptaste;Blomme;change danish name based on latin name;NA
Prunus domestica;NA;Czar;Blomme 'Czar';change danish name based on latin name;NA
Prunus domestica;NA;Jubilæum;Blomme 'Jubilæum';change danish name based on latin name;NA
Prunus domestica;NA;Mirabelle de Nancy;Blomme 'Mirabelle de Nancy';change danish name based on latin name;NA
Prunus domestica;NA;Opal;Blomme 'Opal';change danish name based on latin name;NA
Prunus domestica;NA;Ouillins Reine Claude;Blomme 'Ouillins Reine Claude';change danish name based on latin name;NA
Prunus domestica;NA;Rivers Early Prolific;Blomme 'Rivers Early Prolific';change danish name based on latin name;NA
Prunus domestica;ssp. insisitia;NA;Kræge;change danish name based on latin name;NA
Prunus domestica;NA;Victoria;Victoria-blomme;change danish name based on latin name;NA
Prunus hybr.;NA;Stella;Kirsebær 'Stella';change danish name based on latin name;NA
Prunus hybr.;NA;Stevnsbær;Surkirsebær;change danish name based on latin name;NA
Prunus hybr. amygdalo-persica;NA;NA;Ferskenmandel;change danish name based on latin name;NA
Prunus hybr. hilleri;NA;Spire;Prydkirsebær ' Spire';change danish name based on latin name;NA
Prunus hybr. yedoensis;NA;NA;Yoshino-kirsebær;change danish name based on latin name;NA
Prunus maackii;NA;NA;Mandshurisk kirsebær;change danish name based on latin name;NA
Prunus maackii;NA;Amber Shade;Mandshurisk kirsebær;change danish name based on latin name;NA
Prunus mahaleb;NA;NA;Weichsel;change danish name based on latin name;NA
Prunus padus;NA;NA;Almindelig hæg;change danish name based on latin name;NA
Prunus padus;NA;Select;Almindelig hæg, enstammet;change danish name based on latin name;NA
Prunus persica;NA;NA;Fersken;change danish name based on latin name;NA
Prunus sachalinensis;NA;NA;Sakhalinkirsebær;change danish name based on latin name;NA
Prunus sargentii;NA;Rancho;Sakhalinkirsebær;change danish name based on latin name;NA
Prunus sargentii;NA;NA;Sakhalinkirsebær;change danish name based on latin name;NA
Prunus serrula;NA;NA;Tibetansk kirsebær;change danish name based on latin name;NA
Prunus serrulata;NA;Shirofugen;Japansk kirsebær;change danish name based on latin name;NA
Prunus serrulata;NA;Kanzan;Japansk kirsebær;change danish name based on latin name;NA
Prunus serrulata;NA;Shirotae;Japansk prydkirsebær;change danish name based on latin name;NA
Prunus serrulata;NA;Amanogawa;Japansk søjlekirsebær;change danish name based on latin name;NA
Prunus sp.;NA;NA;Kirsebær/blomme;change danish name based on latin name;NA
Prunus spinosa;NA;NA;Slåen;change danish name based on latin name;NA
Prunus subhirtella;NA;Accolade;Japansk kirsebær;change danish name based on latin name;NA
Prunus subhirtella;NA;Hally Jolivette;Japansk prydkirsebær;change danish name based on latin name;NA
Prunus subhirtella;NA;Autumnalis;Oktoberkirsebær;change danish name based on latin name;NA
Prunus umineko;NA;NA;Prydkirsebær;change danish name based on latin name;NA
Prunus yedoensis;NA;NA;Yoshino-kirsebær;change danish name based on latin name;NA
Pseudotsuga menziesii;var. glauca;NA;Blå douglasgran;change danish name based on latin name;NA
Pseudotsuga menziesii;NA;NA;Douglasgran;change danish name based on latin name;NA
Pseudotsuga menziesii;var. caesia;NA;Douglasgran var. caesia;change danish name based on latin name;NA
Pseudotsuga menziesii;var. menziezii;NA;Grøn douglasgran;change danish name based on latin name;NA
Pseudotsuga sp.;NA;NA;Douglasgran;change danish name based on latin name;NA
Pterocarya fraxinifolia;NA;NA;Kaukasisk vingevalnød;change danish name based on latin name;NA
Pterocarya rhederiana;NA;NA;Vingevalnød sp;change danish name based on latin name;NA
Pterocarya rhoifolia;NA;NA;Rhusbladet vingevalnød;change danish name based on latin name;NA
Pterocarya sp.;NA;NA;Vingevalnød;change danish name based on latin name;NA
Pyrus calleryana;NA;NA;Kinapære;change danish name based on latin name;NA
Pyrus calleryana;NA;Chanticleer;Kinapære;change danish name based on latin name;NA
Pyrus caucasica;NA;NA;Prydpære;change danish name based on latin name;NA
Pyrus communis;NA;Beech Hill;Almindelig pære;change danish name based on latin name;NA
Pyrus communis;NA;Charneau;Charneau-pære;change danish name based on latin name;NA
Pyrus communis;NA;Clara Frijs;Clara Frijs-pære;change danish name based on latin name;NA
Pyrus communis;NA;Conference;Conference-pære;change danish name based on latin name;NA
Pyrus communis;NA;NA;Pære;change danish name based on latin name;NA
Pyrus communis;NA;Doyenne de Comice;Pære 'Doyenne de Comice';change danish name based on latin name;NA
Pyrus communis;NA;Grev Moltke;Pære 'Grev Moltke';change danish name based on latin name;NA
Pyrus communis;NA;Herrepære;Pære 'Herrepære';change danish name based on latin name;NA
Pyrus nivalis;NA;NA;Snepære;change danish name based on latin name;NA
Pyrus piperitum;NA;NA;Pære;change danish name based on latin name;NA
Pyrus sp.;NA;NA;Pære;change danish name based on latin name;NA
Quercus cerris;NA;NA;Frynseeg;change danish name based on latin name;NA
Quercus coccinea;NA;NA;Skarlagen-eg;change danish name based on latin name;NA
Quercus coccinea;NA;Splendens;Skarlagen-eg 'Splendens';change danish name based on latin name;NA
Quercus frainetto;NA;NA;Ungarsk eg;change danish name based on latin name;NA
Quercus hybr. turneri;NA;NA;Turner-eg;change danish name based on latin name;NA
Quercus ilex;NA;NA;Sten-eg;change danish name based on latin name;NA
Quercus macranthera;NA;NA;Kaspisk eg;change danish name based on latin name;NA
Quercus palustris;NA;NA;Sumpeg;change danish name based on latin name;NA
Quercus petraea;NA;NA;Vintereg;change danish name based on latin name;NA
Quercus phellos;NA;NA;Pile-eg;change danish name based on latin name;NA
Quercus pontica;NA;NA;Armensk eg;change danish name based on latin name;NA
Quercus pubescens;NA;NA;Dun-eg;change danish name based on latin name;NA
Quercus robur;NA;Atropurpurea;Rødbladet stilkeg;change danish name based on latin name;NA
Quercus robur;NA;NA;Stilkeg;change danish name based on latin name;NA
Quercus robur;NA;Alnarp;Stilkeg;change danish name based on latin name;NA
Quercus robur;sel. Wodan;NA;Stilkeg;change danish name based on latin name;NA
Quercus robur;NA;Pectinata;Stilkeg 'Pectinata';change danish name based on latin name;NA
Quercus robur;NA;Fastigiata;Søjleformet almindelig eg;change danish name based on latin name;NA
Quercus rubra;NA;NA;Rødeg;change danish name based on latin name;NA
Quercus sp.;NA;NA;Eg;change danish name based on latin name;NA
Rhamnus catharticus;NA;NA;Vrietorn;change danish name based on latin name;NA
Rhamnus frangula;NA;NA;Tørst;change danish name based on latin name;NA
Rhamnus imeritinus;NA;NA;Kaukasisk vrietorn;change danish name based on latin name;NA
Rhamnus sp.;NA;NA;Vrietorn;change danish name based on latin name;NA
Rhododendron sp.;NA;NA;Rhododendron;change danish name based on latin name;NA
Rhododendron williamsianum;NA;NA;Williamsianum rhododendron;change danish name based on latin name;NA
Rhus glabra;NA;lancianata;Hjortetaktræ;change danish name based on latin name;NA
Rhus potaninii;NA;NA;Kinesisk sumak;change danish name based on latin name;NA
Rhus typhina;NA;NA;Hjortetaktræ;change danish name based on latin name;NA
Rhus vernciflua;NA;NA;Lak-giftsumak;change danish name based on latin name;NA
Ribes nigrum;NA;Ben Alder;Solbær 'Ben Alder';change danish name based on latin name;NA
Ribes rubrum;NA;Jonkheer Van Tets;Ribs 'Jonkheer Van Tets';change danish name based on latin name;NA
Ribes rubrum;NA;Rondom;Ribs 'Rondom';change danish name based on latin name;NA
Ribes uva-crispa;NA;NA;Stikkelsbær;change danish name based on latin name;NA
Robinia hybr. margaretta;NA;Pink Cascade;Robinie 'Pink Cascade';change danish name based on latin name;NA
Robinia luxurians;NA;NA;Pragtrobinie;change danish name based on latin name;NA
Robinia pseudoacacia;NA;Nyirsegi;Almindelig robinie;change danish name based on latin name;NA
Robinia pseudoacacia;NA;NA;Almindelig robinie;change danish name based on latin name;NA
Robinia pseudoacacia;NA;Monophylla;Almindelig robinie;change danish name based on latin name;NA
Robinia pseudoacacia;NA;Bessoniana;Almindelig robinie;change danish name based on latin name;NA
Robinia pseudoacacia;NA;Umbraculifera;Kugle-robinie;change danish name based on latin name;NA
Robinia pseudoacacia;NA;Tortuosa;Troldrobinie;change danish name based on latin name;NA
Robinia sp.;NA;NA;Robinie;change danish name based on latin name;NA
Rosa sp.;NA;NA;Rose;change danish name based on latin name;NA
Salix alba;NA;Tristis;Guldhængepil;change danish name based on latin name;NA
Salix alba;NA;Liempde;Hollandsk pil;change danish name based on latin name;NA
Salix alba;NA;NA;Hvidpil;change danish name based on latin name;NA
Salix alba;NA;Saba;Hvidpil;change danish name based on latin name;NA
Salix alba;NA;Belders;Hvidpil;change danish name based on latin name;NA
Salix alba;NA;Chermesina;Orangebarket pil;change danish name based on latin name;NA
Salix alba;NA;Sibirica;Sølvpil;change danish name based on latin name;NA
Salix alba;NA;Sericea;Sølvpil;change danish name based on latin name;NA
Salix aurita;NA;NA;Øret pil;change danish name based on latin name;NA
Salix caprea;NA;Mas;Seljepil;change danish name based on latin name;NA
Salix matsudana;NA;Tortuosa;Troldpil;change danish name based on latin name;NA
Salix pentandra;NA;Jubillo;Femhannet pil;change danish name based on latin name;NA
Salix purpurea;NA;Gracilis;Purpurpil;change danish name based on latin name;NA
Salix sp.;NA;NA;Pil;change danish name based on latin name;NA
Sambucus nigra;NA;NA;Almindelig hyld;change danish name based on latin name;NA
Sambucus nigra;NA;Korsør;Almindelig hyld;change danish name based on latin name;NA
Sambucus sp.;NA;NA;Hyld;change danish name based on latin name;NA
Sequoia sempervirens;NA;NA;Rødtræ;change danish name based on latin name;NA
Sequoiadendron giganteum;NA;NA;Mammuttræ;change danish name based on latin name;NA
Sorbaria arborea;NA;Vilmorini;Tusindtop;change danish name based on latin name;NA
Sorbus alnifolia;NA;NA;Ellebladet røn;change danish name based on latin name;NA
Sorbus americana;NA;NA;Amerikansk røn;change danish name based on latin name;NA
Sorbus aria;NA;NA;Akselrøn;change danish name based on latin name;NA
Sorbus aria;NA;Magnifica;Akselrøn;change danish name based on latin name;NA
Sorbus aucuparia;NA;NA;Almindelig røn;change danish name based on latin name;NA
Sorbus aucuparia;NA;Xanthocarpa;Almindelig røn;change danish name based on latin name;NA
Sorbus aucuparia;NA;Sheerwater Seedling;Almindelig røn;change danish name based on latin name;NA
Sorbus commixta;NA;NA;Japansk røn;change danish name based on latin name;NA
Sorbus commixta;NA;Dodong;Storblomstret japansk røn;change danish name based on latin name;NA
Sorbus domestica;NA;NA;Storfrugtet røn;change danish name based on latin name;NA
Sorbus hybrida;NA;NA;Finsk røn;change danish name based on latin name;NA
Sorbus incana;NA;NA;NA;change danish name based on latin name;NA
Sorbus intermedia;NA;Annisse Kirke;Landevejsrøn;change danish name based on latin name;NA
Sorbus intermedia;NA;NA;Seljerøn;change danish name based on latin name;NA
Sorbus latifolia;NA;Atro;Bredbladet røn;change danish name based on latin name;NA
Sorbus latifolia;NA;NA;Bredbladet røn;change danish name based on latin name;NA
Sorbus mougeotii;NA;NA;Sølvrøn;change danish name based on latin name;NA
Sorbus sp.;NA;NA;Røn;change danish name based on latin name;NA
Sorbus torminalis;NA;NA;Tarmvridrøn;change danish name based on latin name;NA
Staphylea colchica;NA;NA;Kaukasisk blærenød;change danish name based on latin name;NA
Styphnolobium japonica;NA;NA;Pagodetræ;change danish name based on latin name;NA
Styphnolobium sp.;NA;NA;Sophora;change danish name based on latin name;NA
Styrax japonica;NA;NA;Japansk storaks;change danish name based on latin name;NA
Symphoricapos albus;NA;NA;Hvid snebær;change danish name based on latin name;NA
Syringa vulgaris;NA;NA;Almindelig syren;change danish name based on latin name;NA
Taxodium distichum;NA;NA;Almindelig sumpcypres;change danish name based on latin name;NA
Taxus baccata;NA;NA;Almindelig taks;change danish name based on latin name;NA
Taxus baccata;NA;Fastigiata;Søjletaks;change danish name based on latin name;NA
Taxus sp.;NA;NA;Taks;change danish name based on latin name;NA
Tetradium daniellii;NA;NA;Honningtræ;change danish name based on latin name;NA
Thuja occidentalis;NA;NA;Almindelig thuja;change danish name based on latin name;NA
Thuja sp.;NA;NA;Thuja;change danish name based on latin name;NA
Thujopsis dolabrata;NA;NA;Hønsebenstræ;change danish name based on latin name;NA
Tilia cordata;NA;NA;Småbladet lind;change danish name based on latin name;NA
Tilia cordata;NA;Erecta;Småbladet lind;change danish name based on latin name;NA
Tilia cordata;NA;Green Spire;Småbladet lind;change danish name based on latin name;NA
Tilia cordata;NA;Rancho;Småbladet lind;change danish name based on latin name;NA
Tilia euchlora;NA;NA;Krimlind;change danish name based on latin name;NA
Tilia hybr.;NA;Zwarte Linde;Lind;change danish name based on latin name;NA
Tilia hybr. europaea;NA;Pallida;Kejserlind;change danish name based on latin name;NA
Tilia hybr. europaea;NA;NA;Parklind;change danish name based on latin name;NA
Tilia platyphyllos;NA;NA;Storbladet lind;change danish name based on latin name;NA
Tilia platyphyllos;NA;Ørebro;Storbladet lind;change danish name based on latin name;NA
Tilia platyphyllos;NA;Rubra;Storbladet lind;change danish name based on latin name;NA
Tilia platyphyllos;NA;Odin;Storbladet lind;change danish name based on latin name;NA
Tilia sp.;NA;NA;Lind;change danish name based on latin name;NA
Tilia tomentosa;NA;NA;Sølvlind;change danish name based on latin name;NA
Tilia tomentosa;NA;Brabrant;Ungarsk lind;change danish name based on latin name;NA
Torreya californica;NA;NA;Californisk nøddetaks;change danish name based on latin name;NA
Torreya nucifera;NA;NA;Japansk nøddetaks;change danish name based on latin name;NA
Trachycarpus fortunei;NA;NA;Hørpalme;change danish name based on latin name;NA
Trochodendron araliodes;NA;NA;Hjultræ;change danish name based on latin name;NA
Tsuga canadensis;NA;NA;Skarntydegran;change danish name based on latin name;NA
Tsuga diversifolia;NA;NA;Japansk hemlock;change danish name based on latin name;NA
Tsuga mertensiana;NA;NA;Bjerg-hemlock;change danish name based on latin name;NA
Tsuga sp.;NA;NA;Hemlock;change danish name based on latin name;NA
Ulmus hybr.;NA;Columella;Elm 'Columella';change danish name based on latin name;NA
Ulmus hybr.;NA;Fiorente;Elm 'Fiorente';change danish name based on latin name;NA
Ulmus hybr.;NA;Lobel;Elm 'Lobel';change danish name based on latin name;NA
Ulmus hybr.;NA;New Horizon;Elm 'New Horizon';change danish name based on latin name;NA
Ulmus hybr.;NA;Rebona;Elm 'Rebona';change danish name based on latin name;NA
Ulmus hybr.;NA;Regal;Elm 'Regal';change danish name based on latin name;NA
Ulmus hybr.;NA;Sapporo Autumn Gold;Elm 'Sapporo Autumn Gold';change danish name based on latin name;NA
Ulmus hybr.;NA;Vada;Elm 'Vada';change danish name based on latin name;NA
Ulmus laevis;NA;NA;Skærmelm;change danish name based on latin name;NA
Ulmus minor;NA;Suberosa;Korkelm;change danish name based on latin name;NA
Ulmus sp.;NA;NA;Elm;change danish name based on latin name;NA
Viburnum hybr. bodnantense;NA;NA;Kejserbusk;change danish name based on latin name;NA
Viburnum opulus;NA;NA;Almindelig kvalkved;change danish name based on latin name;NA
Zanthoxylum americanum;NA;NA;Tandpinetræ;change danish name based on latin name;NA
Zanthoxylum piperitum;NA;NA;Japansk peber;change danish name based on latin name;NA
Zelkova serrata;NA;NA;Japansk zelkova;change danish name based on latin name;NA
